country,count
United States,82
United Kingdom,42
India,31
Canada,29
Germany,29
Italy,29
Russia,22
Spain,18
China,17
Brazil,17
Mexico,17
Romania,16
Netherlands,16
Turkey,15
Poland,14
Portugal,13
France,12
Australia,12
Pakistan,9
Greece,9
Ukraine,8
Japan,7
Colombia,7
Morocco,7
Czech Republic,7
Sweden,7
Israel,7
Norway,7
Indonesia,6
Philippines,6
Malaysia,6
Belgium,6
Hungary,6
Finland,6
Iran,5
South Africa,5
United Arab Emirates,5
Austria,5
Denmark,5
Tunisia,5
Croatia,5
Saudi Arabia,4
Taiwan,4
Serbia,4
New Zealand,4
Bulgaria,4
North Macedonia,4
Ireland,4
Cyprus,4
Bosnia And Herzegovina,4
Switzerland,9
